#ndep: 2897
#depth (km)   Rho_arithmetic (g/cm^3)   Rho_geometric (g/cm^3)
   365.0           3.5282E+00              3.5282E+00
   366.0           3.5289E+00              3.5289E+00
   367.0           3.5295E+00              3.5295E+00
   368.0           3.5301E+00              3.5301E+00
   369.0           3.5307E+00              3.5307E+00
   370.0           3.5314E+00              3.5314E+00
   371.0           3.5320E+00              3.5320E+00
   372.0           3.5326E+00              3.5326E+00
   373.0           3.5332E+00              3.5332E+00
   374.0           3.5338E+00              3.5338E+00
   375.0           3.5344E+00              3.5344E+00
   376.0           3.5350E+00              3.5350E+00
   377.0           3.5356E+00              3.5356E+00
   378.0           3.5362E+00              3.5362E+00
   379.0           3.5368E+00              3.5368E+00
   380.0           3.5374E+00              3.5374E+00
   381.0           3.5380E+00              3.5380E+00
   382.0           3.5386E+00              3.5386E+00
   383.0           3.5392E+00              3.5392E+00
   384.0           3.5398E+00              3.5398E+00
   385.0           3.5403E+00              3.5403E+00
   386.0           3.5409E+00              3.5409E+00
   387.0           3.5415E+00              3.5415E+00
   388.0           3.5420E+00              3.5420E+00
   389.0           3.5426E+00              3.5426E+00
   390.0           3.5432E+00              3.5432E+00
   391.0           3.5437E+00              3.5437E+00
   392.0           3.5443E+00              3.5443E+00
   393.0           3.5448E+00              3.5448E+00
   394.0           3.5454E+00              3.5453E+00
   395.0           3.5459E+00              3.5459E+00
   396.0           3.5464E+00              3.5464E+00
   397.0           3.5469E+00              3.5469E+00
   398.0           3.5475E+00              3.5475E+00
   399.0           3.5480E+00              3.5480E+00
   400.0           3.5485E+00              3.5485E+00
   401.0           3.5490E+00              3.5490E+00
   402.0           3.5495E+00              3.5495E+00
   403.0           3.5500E+00              3.5500E+00
   404.0           3.5505E+00              3.5505E+00
   405.0           3.5510E+00              3.5510E+00
   406.0           3.5515E+00              3.5515E+00
   407.0           3.5520E+00              3.5520E+00
   408.0           3.5525E+00              3.5525E+00
   409.0           3.5529E+00              3.5529E+00
   410.0           3.7424E+00              3.7424E+00
   411.0           3.7437E+00              3.7437E+00
   412.0           3.7450E+00              3.7450E+00
   413.0           3.7464E+00              3.7464E+00
   414.0           3.7477E+00              3.7477E+00
   415.0           3.7491E+00              3.7491E+00
   416.0           3.7504E+00              3.7504E+00
   417.0           3.7517E+00              3.7517E+00
   418.0           3.7530E+00              3.7530E+00
   419.0           3.7544E+00              3.7544E+00
   420.0           3.7557E+00              3.7557E+00
   421.0           3.7570E+00              3.7570E+00
   422.0           3.7584E+00              3.7584E+00
   423.0           3.7597E+00              3.7597E+00
   424.0           3.7610E+00              3.7610E+00
   425.0           3.7623E+00              3.7623E+00
   426.0           3.7636E+00              3.7636E+00
   427.0           3.7650E+00              3.7650E+00
   428.0           3.7663E+00              3.7663E+00
   429.0           3.7676E+00              3.7676E+00
   430.0           3.7689E+00              3.7689E+00
   431.0           3.7702E+00              3.7702E+00
   432.0           3.7715E+00              3.7715E+00
   433.0           3.7728E+00              3.7728E+00
   434.0           3.7741E+00              3.7741E+00
   435.0           3.7754E+00              3.7754E+00
   436.0           3.7767E+00              3.7767E+00
   437.0           3.7781E+00              3.7781E+00
   438.0           3.7794E+00              3.7794E+00
   439.0           3.7807E+00              3.7807E+00
   440.0           3.7820E+00              3.7820E+00
   441.0           3.7833E+00              3.7833E+00
   442.0           3.7846E+00              3.7846E+00
   443.0           3.7859E+00              3.7859E+00
   444.0           3.7872E+00              3.7871E+00
   445.0           3.7884E+00              3.7884E+00
   446.0           3.7897E+00              3.7897E+00
   447.0           3.7910E+00              3.7910E+00
   448.0           3.7923E+00              3.7923E+00
   449.0           3.7936E+00              3.7936E+00
   450.0           3.7949E+00              3.7949E+00
   451.0           3.7962E+00              3.7962E+00
   452.0           3.7975E+00              3.7975E+00
   453.0           3.7988E+00              3.7988E+00
   454.0           3.8001E+00              3.8001E+00
   455.0           3.8013E+00              3.8013E+00
   456.0           3.8026E+00              3.8026E+00
   457.0           3.8039E+00              3.8039E+00
   458.0           3.8052E+00              3.8052E+00
   459.0           3.8065E+00              3.8065E+00
   460.0           3.8078E+00              3.8078E+00
   461.0           3.8090E+00              3.8090E+00
   462.0           3.8103E+00              3.8103E+00
   463.0           3.8116E+00              3.8116E+00
   464.0           3.8129E+00              3.8129E+00
   465.0           3.8142E+00              3.8142E+00
   466.0           3.8154E+00              3.8154E+00
   467.0           3.8167E+00              3.8167E+00
   468.0           3.8180E+00              3.8180E+00
   469.0           3.8193E+00              3.8193E+00
   470.0           3.8205E+00              3.8205E+00
   471.0           3.8218E+00              3.8218E+00
