#ndep: 2897
#depth (km)   Vpv_arithmetic (km/s)   Vpv_geometric (km/s)
   357.0           8.8440E+00              8.8439E+00
   358.0           8.8470E+00              8.8469E+00
   359.0           8.8500E+00              8.8499E+00
   360.0           8.8530E+00              8.8529E+00
   361.0           8.8559E+00              8.8558E+00
   362.0           8.8587E+00              8.8586E+00
   363.0           8.8616E+00              8.8615E+00
   364.0           8.8644E+00              8.8643E+00
   365.0           8.8671E+00              8.8670E+00
   366.0           8.8698E+00              8.8697E+00
   367.0           8.8725E+00              8.8724E+00
   368.0           8.8751E+00              8.8750E+00
   369.0           8.8777E+00              8.8776E+00
   370.0           8.8802E+00              8.8801E+00
   371.0           8.8827E+00              8.8826E+00
   372.0           8.8852E+00              8.8851E+00
   373.0           8.8876E+00              8.8875E+00
   374.0           8.8900E+00              8.8899E+00
   375.0           8.8923E+00              8.8922E+00
   376.0           8.8946E+00              8.8945E+00
   377.0           8.8968E+00              8.8967E+00
   378.0           8.8990E+00              8.8989E+00
   379.0           8.9011E+00              8.9010E+00
   380.0           8.9032E+00              8.9031E+00
   381.0           8.9053E+00              8.9052E+00
   382.0           8.9073E+00              8.9072E+00
   383.0           8.9093E+00              8.9092E+00
   384.0           8.9112E+00              8.9111E+00
   385.0           8.9131E+00              8.9130E+00
   386.0           8.9149E+00              8.9148E+00
   387.0           8.9167E+00              8.9166E+00
   388.0           8.9184E+00              8.9183E+00
   389.0           8.9201E+00              8.9200E+00
   390.0           8.9217E+00              8.9216E+00
   391.0           8.9233E+00              8.9232E+00
   392.0           8.9248E+00              8.9247E+00
   393.0           8.9263E+00              8.9262E+00
   394.0           8.9277E+00              8.9276E+00
   395.0           8.9291E+00              8.9290E+00
   396.0           8.9305E+00              8.9304E+00
   397.0           8.9317E+00              8.9316E+00
   398.0           8.9330E+00              8.9329E+00
   399.0           8.9341E+00              8.9341E+00
   400.0           8.9353E+00              8.9352E+00
   401.0           8.9363E+00              8.9363E+00
   402.0           8.9374E+00              8.9373E+00
   403.0           8.9383E+00              8.9383E+00
   404.0           8.9393E+00              8.9392E+00
   405.0           8.9401E+00              8.9400E+00
   406.0           8.9409E+00              8.9409E+00
   407.0           8.9417E+00              8.9416E+00
   408.0           8.9424E+00              8.9423E+00
   409.0           8.9431E+00              8.9430E+00
   410.0           9.2133E+00              9.2132E+00
   411.0           9.2180E+00              9.2180E+00
   412.0           9.2228E+00              9.2227E+00
   413.0           9.2275E+00              9.2274E+00
   414.0           9.2322E+00              9.2321E+00
   415.0           9.2369E+00              9.2368E+00
   416.0           9.2415E+00              9.2414E+00
   417.0           9.2462E+00              9.2461E+00
   418.0           9.2508E+00              9.2507E+00
   419.0           9.2554E+00              9.2553E+00
   420.0           9.2600E+00              9.2599E+00
   421.0           9.2646E+00              9.2645E+00
   422.0           9.2692E+00              9.2691E+00
   423.0           9.2737E+00              9.2736E+00
   424.0           9.2783E+00              9.2782E+00
   425.0           9.2828E+00              9.2827E+00
   426.0           9.2873E+00              9.2872E+00
   427.0           9.2918E+00              9.2917E+00
   428.0           9.2963E+00              9.2962E+00
   429.0           9.3008E+00              9.3007E+00
   430.0           9.3053E+00              9.3052E+00
   431.0           9.3097E+00              9.3096E+00
   432.0           9.3141E+00              9.3141E+00
   433.0           9.3186E+00              9.3185E+00
   434.0           9.3230E+00              9.3229E+00
   435.0           9.3274E+00              9.3273E+00
   436.0           9.3318E+00              9.3317E+00
   437.0           9.3362E+00              9.3361E+00
   438.0           9.3405E+00              9.3404E+00
   439.0           9.3449E+00              9.3448E+00
   440.0           9.3492E+00              9.3491E+00
   441.0           9.3536E+00              9.3535E+00
   442.0           9.3579E+00              9.3578E+00
   443.0           9.3622E+00              9.3621E+00
   444.0           9.3665E+00              9.3664E+00
   445.0           9.3708E+00              9.3707E+00
   446.0           9.3751E+00              9.3750E+00
   447.0           9.3794E+00              9.3793E+00
   448.0           9.3837E+00              9.3836E+00
   449.0           9.3879E+00              9.3878E+00
   450.0           9.3922E+00              9.3921E+00
   451.0           9.3964E+00              9.3964E+00
   452.0           9.4007E+00              9.4006E+00
   453.0           9.4049E+00              9.4048E+00
   454.0           9.4092E+00              9.4091E+00
   455.0           9.4134E+00              9.4133E+00
   456.0           9.4176E+00              9.4175E+00
   457.0           9.4218E+00              9.4217E+00
   458.0           9.4260E+00              9.4259E+00
   459.0           9.4302E+00              9.4301E+00
   460.0           9.4344E+00              9.4343E+00
   461.0           9.4386E+00              9.4385E+00
   462.0           9.4428E+00              9.4427E+00
   463.0           9.4469E+00              9.4468E+00
   464.0           9.4511E+00              9.4510E+00
   465.0           9.4553E+00              9.4552E+00
   466.0           9.4594E+00              9.4593E+00
   467.0           9.4636E+00              9.4635E+00
   468.0           9.4678E+00              9.4677E+00
   469.0           9.4719E+00              9.4718E+00
   470.0           9.4761E+00              9.4760E+00
   471.0           9.4802E+00              9.4801E+00
   472.0           9.4843E+00              9.4842E+00
   473.0           9.4885E+00              9.4884E+00
   474.0           9.4926E+00              9.4925E+00
   475.0           9.4968E+00              9.4967E+00
   476.0           9.5009E+00              9.5008E+00
   477.0           9.5050E+00              9.5049E+00
   478.0           9.5092E+00              9.5091E+00
   479.0           9.5133E+00              9.5132E+00
   480.0           9.5174E+00              9.5173E+00
   481.0           9.5216E+00              9.5215E+00
   482.0           9.5257E+00              9.5256E+00
   483.0           9.5298E+00              9.5297E+00
   484.0           9.5340E+00              9.5339E+00
   485.0           9.5381E+00              9.5380E+00
   486.0           9.5422E+00              9.5421E+00
   487.0           9.5464E+00              9.5463E+00
   488.0           9.5505E+00              9.5504E+00
   489.0           9.5546E+00              9.5545E+00
   490.0           9.5588E+00              9.5587E+00
   491.0           9.5629E+00              9.5628E+00
   492.0           9.5670E+00              9.5669E+00
   493.0           9.5712E+00              9.5711E+00
   494.0           9.5753E+00              9.5752E+00
   495.0           9.5795E+00              9.5794E+00
   496.0           9.5836E+00              9.5835E+00
   497.0           9.5878E+00              9.5877E+00
   498.0           9.5920E+00              9.5919E+00
   499.0           9.5961E+00              9.5960E+00
   500.0           9.6003E+00              9.6002E+00
   501.0           9.6045E+00              9.6044E+00
   502.0           9.6086E+00              9.6085E+00
   503.0           9.6128E+00              9.6127E+00
   504.0           9.6170E+00              9.6169E+00
   505.0           9.6212E+00              9.6211E+00
   506.0           9.6254E+00              9.6253E+00
   507.0           9.6296E+00              9.6295E+00
   508.0           9.6338E+00              9.6337E+00
   509.0           9.6380E+00              9.6379E+00
   510.0           9.6422E+00              9.6421E+00
   511.0           9.6465E+00              9.6464E+00
   512.0           9.6507E+00              9.6506E+00
   513.0           9.6549E+00              9.6548E+00
   514.0           9.6592E+00              9.6591E+00
   515.0           9.6634E+00              9.6633E+00
   516.0           9.6677E+00              9.6676E+00
   517.0           9.6720E+00              9.6719E+00
   518.0           9.6763E+00              9.6762E+00
   519.0           9.6806E+00              9.6805E+00
   520.0           9.6849E+00              9.6848E+00
   521.0           9.6892E+00              9.6891E+00
   522.0           9.6935E+00              9.6934E+00
   523.0           9.6978E+00              9.6977E+00
   524.0           9.7021E+00              9.7020E+00
   525.0           9.7065E+00              9.7064E+00
   526.0           9.7108E+00              9.7107E+00
   527.0           9.7152E+00              9.7151E+00
   528.0           9.7196E+00              9.7195E+00
   529.0           9.7240E+00              9.7239E+00
   530.0           9.7284E+00              9.7283E+00
   531.0           9.7328E+00              9.7327E+00
   532.0           9.7372E+00              9.7371E+00
   533.0           9.7416E+00              9.7415E+00
   534.0           9.7460E+00              9.7459E+00
   535.0           9.7505E+00              9.7504E+00
   536.0           9.7549E+00              9.7548E+00
   537.0           9.7594E+00              9.7593E+00
   538.0           9.7638E+00              9.7637E+00
   539.0           9.7683E+00              9.7682E+00
   540.0           9.7728E+00              9.7727E+00
   541.0           9.7773E+00              9.7772E+00
   542.0           9.7817E+00              9.7816E+00
   543.0           9.7863E+00              9.7862E+00
   544.0           9.7908E+00              9.7907E+00
   545.0           9.7953E+00              9.7952E+00
   546.0           9.7998E+00              9.7997E+00
   547.0           9.8043E+00              9.8042E+00
   548.0           9.8089E+00              9.8088E+00
   549.0           9.8134E+00              9.8133E+00
   550.0           9.8179E+00              9.8178E+00
   551.0           9.8225E+00              9.8224E+00
   552.0           9.8271E+00              9.8270E+00
   553.0           9.8316E+00              9.8315E+00
   554.0           9.8362E+00              9.8361E+00
   555.0           9.8408E+00              9.8407E+00
   556.0           9.8454E+00              9.8453E+00
   557.0           9.8500E+00              9.8499E+00
   558.0           9.8546E+00              9.8545E+00
   559.0           9.8592E+00              9.8591E+00
   560.0           9.8638E+00              9.8637E+00
   561.0           9.8684E+00              9.8683E+00
   562.0           9.8730E+00              9.8729E+00
   563.0           9.8777E+00              9.8776E+00
   564.0           9.8823E+00              9.8822E+00
   565.0           9.8869E+00              9.8868E+00
   566.0           9.8916E+00              9.8915E+00
   567.0           9.8962E+00              9.8961E+00
   568.0           9.9009E+00              9.9008E+00
   569.0           9.9055E+00              9.9054E+00
   570.0           9.9102E+00              9.9101E+00
   571.0           9.9149E+00              9.9148E+00
   572.0           9.9195E+00              9.9194E+00
   573.0           9.9242E+00              9.9241E+00
   574.0           9.9289E+00              9.9288E+00
   575.0           9.9336E+00              9.9335E+00
   576.0           9.9383E+00              9.9382E+00
   577.0           9.9430E+00              9.9428E+00
   578.0           9.9477E+00              9.9475E+00
   579.0           9.9524E+00              9.9522E+00
   580.0           9.9570E+00              9.9569E+00
   581.0           9.9618E+00              9.9616E+00
   582.0           9.9665E+00              9.9664E+00
   583.0           9.9712E+00              9.9711E+00
   584.0           9.9759E+00              9.9758E+00
   585.0           9.9806E+00              9.9805E+00
   586.0           9.9853E+00              9.9852E+00
   587.0           9.9900E+00              9.9899E+00
   588.0           9.9948E+00              9.9947E+00
   589.0           9.9995E+00              9.9994E+00
   590.0           1.0004E+01              1.0004E+01
   591.0           1.0009E+01              1.0009E+01
   592.0           1.0014E+01              1.0014E+01
   593.0           1.0018E+01              1.0018E+01
   594.0           1.0023E+01              1.0023E+01
   595.0           1.0028E+01              1.0028E+01
   596.0           1.0033E+01              1.0033E+01
   597.0           1.0037E+01              1.0037E+01
   598.0           1.0042E+01              1.0042E+01
   599.0           1.0047E+01              1.0047E+01
   600.0           1.0052E+01              1.0052E+01
   601.0           1.0056E+01              1.0056E+01
   602.0           1.0061E+01              1.0061E+01
   603.0           1.0066E+01              1.0066E+01
   604.0           1.0071E+01              1.0071E+01
   605.0           1.0075E+01              1.0075E+01
