#ndep: 2897
#depth (km)      Eta_arithmetic          Eta_geometric
   268.0           9.9634E-01              9.9634E-01
   269.0           9.9653E-01              9.9653E-01
   270.0           9.9672E-01              9.9672E-01
   271.0           9.9691E-01              9.9691E-01
   272.0           9.9709E-01              9.9709E-01
   273.0           9.9727E-01              9.9727E-01
   274.0           9.9744E-01              9.9744E-01
   275.0           9.9761E-01              9.9761E-01
   276.0           9.9777E-01              9.9777E-01
   277.0           9.9793E-01              9.9793E-01
   278.0           9.9808E-01              9.9808E-01
   279.0           9.9823E-01              9.9823E-01
   280.0           9.9837E-01              9.9837E-01
   281.0           9.9851E-01              9.9851E-01
   282.0           9.9865E-01              9.9865E-01
   283.0           9.9878E-01              9.9878E-01
   284.0           9.9890E-01              9.9890E-01
   285.0           9.9902E-01              9.9902E-01
   286.0           9.9914E-01              9.9914E-01
   287.0           9.9925E-01              9.9925E-01
   288.0           9.9936E-01              9.9936E-01
   289.0           9.9946E-01              9.9946E-01
   290.0           9.9956E-01              9.9956E-01
   291.0           9.9965E-01              9.9965E-01
   292.0           9.9974E-01              9.9974E-01
   293.0           9.9982E-01              9.9982E-01
   294.0           9.9990E-01              9.9990E-01
   295.0           9.9998E-01              9.9998E-01
   296.0           1.0001E+00              1.0001E+00
   297.0           1.0001E+00              1.0001E+00
   298.0           1.0002E+00              1.0002E+00
   299.0           1.0002E+00              1.0002E+00
   300.0           1.0003E+00              1.0003E+00
   301.0           1.0003E+00              1.0003E+00
   302.0           1.0004E+00              1.0004E+00
   303.0           1.0004E+00              1.0004E+00
   304.0           1.0005E+00              1.0005E+00
   305.0           1.0005E+00              1.0005E+00
   306.0           1.0005E+00              1.0005E+00
   307.0           1.0006E+00              1.0006E+00
   308.0           1.0006E+00              1.0006E+00
   309.0           1.0006E+00              1.0006E+00
   310.0           1.0006E+00              1.0006E+00
   311.0           1.0006E+00              1.0006E+00
   312.0           1.0006E+00              1.0006E+00
   313.0           1.0007E+00              1.0007E+00
   314.0           1.0007E+00              1.0007E+00
   315.0           1.0007E+00              1.0007E+00
   316.0           1.0007E+00              1.0007E+00
   317.0           1.0007E+00              1.0007E+00
   318.0           1.0006E+00              1.0006E+00
   319.0           1.0006E+00              1.0006E+00
   320.0           1.0006E+00              1.0006E+00
   321.0           1.0006E+00              1.0006E+00
   322.0           1.0006E+00              1.0006E+00
   323.0           1.0006E+00              1.0006E+00
   324.0           1.0006E+00              1.0006E+00
   325.0           1.0005E+00              1.0005E+00
   326.0           1.0005E+00              1.0005E+00
   327.0           1.0005E+00              1.0005E+00
   328.0           1.0005E+00              1.0005E+00
   329.0           1.0004E+00              1.0004E+00
   330.0           1.0004E+00              1.0004E+00
   331.0           1.0004E+00              1.0004E+00
   332.0           1.0003E+00              1.0003E+00
   333.0           1.0003E+00              1.0003E+00
   334.0           1.0003E+00              1.0003E+00
   335.0           1.0002E+00              1.0002E+00
   336.0           1.0002E+00              1.0002E+00
   337.0           1.0002E+00              1.0002E+00
   338.0           1.0001E+00              1.0001E+00
   339.0           1.0001E+00              1.0001E+00
   340.0           1.0000E+00              1.0000E+00
   341.0           9.9999E-01              9.9999E-01
   342.0           9.9995E-01              9.9995E-01
   343.0           9.9991E-01              9.9991E-01
   344.0           9.9987E-01              9.9987E-01
   345.0           9.9983E-01              9.9983E-01
   346.0           9.9979E-01              9.9979E-01
   347.0           9.9975E-01              9.9974E-01
   348.0           9.9970E-01              9.9970E-01
   349.0           9.9966E-01              9.9966E-01
   350.0           9.9962E-01              9.9962E-01
   351.0           9.9958E-01              9.9958E-01
   352.0           9.9955E-01              9.9955E-01
   353.0           9.9951E-01              9.9951E-01
   354.0           9.9947E-01              9.9947E-01
   355.0           9.9943E-01              9.9943E-01
   356.0           9.9940E-01              9.9940E-01
   357.0           9.9936E-01              9.9936E-01
   358.0           9.9933E-01              9.9933E-01
   359.0           9.9930E-01              9.9930E-01
   360.0           9.9927E-01              9.9927E-01
   361.0           9.9924E-01              9.9924E-01
   362.0           9.9921E-01              9.9921E-01
   363.0           9.9919E-01              9.9919E-01
   364.0           9.9916E-01              9.9916E-01
   365.0           9.9914E-01              9.9914E-01
   366.0           9.9912E-01              9.9912E-01
   367.0           9.9910E-01              9.9910E-01
   368.0           9.9909E-01              9.9908E-01
   369.0           9.9907E-01              9.9907E-01
   370.0           9.9906E-01              9.9906E-01
   371.0           9.9905E-01              9.9905E-01
   372.0           9.9904E-01              9.9904E-01
   373.0           9.9904E-01              9.9904E-01
   374.0           9.9904E-01              9.9904E-01
   375.0           9.9904E-01              9.9904E-01
   376.0           9.9904E-01              9.9904E-01
   377.0           9.9905E-01              9.9905E-01
   378.0           9.9906E-01              9.9906E-01
   379.0           9.9908E-01              9.9908E-01
   380.0           9.9909E-01              9.9909E-01
   381.0           9.9911E-01              9.9911E-01
   382.0           9.9914E-01              9.9914E-01
   383.0           9.9917E-01              9.9916E-01
   384.0           9.9920E-01              9.9920E-01
   385.0           9.9923E-01              9.9923E-01
   386.0           9.9927E-01              9.9927E-01
   387.0           9.9931E-01              9.9931E-01
   388.0           9.9936E-01              9.9936E-01
   389.0           9.9941E-01              9.9941E-01
   390.0           9.9946E-01              9.9946E-01
   391.0           9.9952E-01              9.9952E-01
   392.0           9.9959E-01              9.9959E-01
   393.0           9.9965E-01              9.9965E-01
   394.0           9.9973E-01              9.9973E-01
   395.0           9.9981E-01              9.9981E-01
   396.0           9.9989E-01              9.9989E-01
   397.0           9.9997E-01              9.9997E-01
   398.0           1.0001E+00              1.0001E+00
   399.0           1.0002E+00              1.0002E+00
   400.0           1.0003E+00              1.0003E+00
   401.0           1.0004E+00              1.0004E+00
   402.0           1.0005E+00              1.0005E+00
   403.0           1.0006E+00              1.0006E+00
   404.0           1.0007E+00              1.0007E+00
   405.0           1.0009E+00              1.0009E+00
   406.0           1.0010E+00              1.0010E+00
   407.0           1.0011E+00              1.0011E+00
   408.0           1.0013E+00              1.0013E+00
   409.0           1.0014E+00              1.0014E+00
   410.0           9.9980E-01              9.9980E-01
   411.0           9.9982E-01              9.9982E-01
   412.0           9.9983E-01              9.9983E-01
   413.0           9.9984E-01              9.9984E-01
   414.0           9.9985E-01              9.9985E-01
   415.0           9.9987E-01              9.9987E-01
   416.0           9.9988E-01              9.9988E-01
   417.0           9.9989E-01              9.9989E-01
   418.0           9.9990E-01              9.9990E-01
   419.0           9.9991E-01              9.9991E-01
   420.0           9.9992E-01              9.9992E-01
   421.0           9.9993E-01              9.9993E-01
   422.0           9.9994E-01              9.9994E-01
   423.0           9.9995E-01              9.9995E-01
   424.0           9.9995E-01              9.9995E-01
   425.0           9.9996E-01              9.9996E-01
   426.0           9.9997E-01              9.9997E-01
   427.0           9.9998E-01              9.9998E-01
   428.0           9.9999E-01              9.9998E-01
   429.0           9.9999E-01              9.9999E-01
   430.0           1.0000E+00              1.0000E+00
   431.0           1.0000E+00              1.0000E+00
   432.0           1.0000E+00              1.0000E+00
   433.0           1.0000E+00              1.0000E+00
   434.0           1.0000E+00              1.0000E+00
   435.0           1.0000E+00              1.0000E+00
   436.0           1.0000E+00              1.0000E+00
   437.0           1.0000E+00              1.0000E+00
   438.0           1.0000E+00              1.0000E+00
   439.0           1.0000E+00              1.0000E+00
   440.0           1.0000E+00              1.0000E+00
   441.0           1.0001E+00              1.0001E+00
   442.0           1.0001E+00              1.0001E+00
   443.0           1.0001E+00              1.0001E+00
   444.0           1.0001E+00              1.0001E+00
   445.0           1.0001E+00              1.0001E+00
   446.0           1.0001E+00              1.0001E+00
   447.0           1.0001E+00              1.0001E+00
   448.0           1.0001E+00              1.0001E+00
   449.0           1.0001E+00              1.0001E+00
   450.0           1.0001E+00              1.0001E+00
   451.0           1.0001E+00              1.0001E+00
   452.0           1.0001E+00              1.0001E+00
   453.0           1.0001E+00              1.0001E+00
   454.0           1.0001E+00              1.0001E+00
   455.0           1.0001E+00              1.0001E+00
   456.0           1.0001E+00              1.0001E+00
   457.0           1.0001E+00              1.0001E+00
   458.0           1.0001E+00              1.0001E+00
   459.0           1.0001E+00              1.0001E+00
   460.0           1.0001E+00              1.0001E+00
   461.0           1.0001E+00              1.0001E+00
   462.0           1.0001E+00              1.0001E+00
   463.0           1.0001E+00              1.0001E+00
   464.0           1.0001E+00              1.0001E+00
   465.0           1.0001E+00              1.0001E+00
   466.0           1.0001E+00              1.0001E+00
   467.0           1.0001E+00              1.0001E+00
   468.0           1.0001E+00              1.0001E+00
   469.0           1.0001E+00              1.0001E+00
   470.0           1.0001E+00              1.0001E+00
   471.0           1.0001E+00              1.0001E+00
   472.0           1.0001E+00              1.0001E+00
   473.0           1.0001E+00              1.0001E+00
   474.0           1.0001E+00              1.0001E+00
   475.0           1.0001E+00              1.0001E+00
   476.0           1.0001E+00              1.0001E+00
   477.0           1.0001E+00              1.0001E+00
   478.0           1.0001E+00              1.0001E+00
   479.0           1.0001E+00              1.0001E+00
   480.0           1.0001E+00              1.0001E+00
   481.0           1.0001E+00              1.0001E+00
   482.0           1.0001E+00              1.0001E+00
   483.0           1.0001E+00              1.0001E+00
   484.0           1.0000E+00              1.0000E+00
   485.0           1.0000E+00              1.0000E+00
   486.0           1.0000E+00              1.0000E+00
   487.0           1.0000E+00              1.0000E+00
   488.0           1.0000E+00              1.0000E+00
   489.0           1.0000E+00              1.0000E+00
   490.0           1.0000E+00              1.0000E+00
   491.0           1.0000E+00              1.0000E+00
   492.0           1.0000E+00              1.0000E+00
   493.0           1.0000E+00              1.0000E+00
   494.0           1.0000E+00              1.0000E+00
   495.0           1.0000E+00              1.0000E+00
   496.0           1.0000E+00              1.0000E+00
   497.0           1.0000E+00              1.0000E+00
   498.0           1.0000E+00              1.0000E+00
   499.0           1.0000E+00              1.0000E+00
   500.0           1.0000E+00              1.0000E+00
   501.0           1.0000E+00              1.0000E+00
   502.0           1.0000E+00              1.0000E+00
   503.0           1.0000E+00              1.0000E+00
   504.0           1.0000E+00              1.0000E+00
   505.0           1.0000E+00              1.0000E+00
   506.0           1.0000E+00              1.0000E+00
   507.0           1.0000E+00              1.0000E+00
   508.0           1.0000E+00              1.0000E+00
   509.0           1.0000E+00              1.0000E+00
   510.0           1.0000E+00              1.0000E+00
   511.0           1.0000E+00              1.0000E+00
   512.0           1.0000E+00              1.0000E+00
   513.0           1.0000E+00              1.0000E+00
   514.0           1.0000E+00              1.0000E+00
   515.0           1.0000E+00              1.0000E+00
   516.0           1.0000E+00              1.0000E+00
   517.0           1.0000E+00              1.0000E+00
   518.0           1.0000E+00              1.0000E+00
   519.0           1.0000E+00              1.0000E+00
   520.0           1.0000E+00              1.0000E+00
   521.0           1.0000E+00              1.0000E+00
   522.0           1.0000E+00              1.0000E+00
   523.0           1.0000E+00              1.0000E+00
   524.0           1.0000E+00              1.0000E+00
   525.0           1.0000E+00              1.0000E+00
   526.0           1.0000E+00              1.0000E+00
   527.0           1.0000E+00              1.0000E+00
   528.0           1.0000E+00              1.0000E+00
   529.0           1.0000E+00              1.0000E+00
   530.0           1.0000E+00              1.0000E+00
   531.0           1.0000E+00              1.0000E+00
   532.0           1.0000E+00              1.0000E+00
   533.0           1.0000E+00              1.0000E+00
   534.0           1.0000E+00              1.0000E+00
   535.0           1.0000E+00              1.0000E+00
   536.0           1.0000E+00              1.0000E+00
   537.0           1.0000E+00              1.0000E+00
   538.0           1.0000E+00              1.0000E+00
   539.0           1.0000E+00              1.0000E+00
   540.0           1.0000E+00              1.0000E+00
   541.0           1.0000E+00              1.0000E+00
   542.0           1.0000E+00              1.0000E+00
   543.0           1.0000E+00              1.0000E+00
   544.0           1.0000E+00              1.0000E+00
   545.0           1.0000E+00              1.0000E+00
   546.0           1.0001E+00              1.0001E+00
   547.0           1.0001E+00              1.0001E+00
   548.0           1.0001E+00              1.0001E+00
   549.0           1.0001E+00              1.0001E+00
   550.0           1.0001E+00              1.0001E+00
   551.0           1.0001E+00              1.0001E+00
   552.0           1.0001E+00              1.0001E+00
   553.0           1.0001E+00              1.0001E+00
   554.0           1.0001E+00              1.0001E+00
   555.0           1.0001E+00              1.0001E+00
   556.0           1.0001E+00              1.0001E+00
   557.0           1.0001E+00              1.0001E+00
   558.0           1.0001E+00              1.0001E+00
   559.0           1.0001E+00              1.0001E+00
   560.0           1.0001E+00              1.0001E+00
   561.0           1.0001E+00              1.0001E+00
   562.0           1.0001E+00              1.0001E+00
   563.0           1.0001E+00              1.0001E+00
   564.0           1.0001E+00              1.0001E+00
   565.0           1.0001E+00              1.0001E+00
   566.0           1.0001E+00              1.0001E+00
   567.0           1.0001E+00              1.0001E+00
   568.0           1.0001E+00              1.0001E+00
   569.0           1.0001E+00              1.0001E+00
   570.0           1.0002E+00              1.0002E+00
   571.0           1.0002E+00              1.0002E+00
   572.0           1.0002E+00              1.0002E+00
   573.0           1.0002E+00              1.0002E+00
   574.0           1.0002E+00              1.0002E+00
   575.0           1.0002E+00              1.0002E+00
   576.0           1.0002E+00              1.0002E+00
   577.0           1.0002E+00              1.0002E+00
   578.0           1.0002E+00              1.0002E+00
   579.0           1.0002E+00              1.0002E+00
   580.0           1.0002E+00              1.0002E+00
   581.0           1.0002E+00              1.0002E+00
   582.0           1.0002E+00              1.0002E+00
   583.0           1.0002E+00              1.0002E+00
   584.0           1.0002E+00              1.0002E+00
   585.0           1.0002E+00              1.0002E+00
   586.0           1.0002E+00              1.0002E+00
   587.0           1.0002E+00              1.0002E+00
   588.0           1.0002E+00              1.0002E+00
   589.0           1.0002E+00              1.0002E+00
   590.0           1.0002E+00              1.0002E+00
   591.0           1.0002E+00              1.0002E+00
   592.0           1.0002E+00              1.0002E+00
   593.0           1.0002E+00              1.0002E+00
   594.0           1.0002E+00              1.0002E+00
   595.0           1.0002E+00              1.0002E+00
   596.0           1.0003E+00              1.0003E+00
   597.0           1.0003E+00              1.0003E+00
   598.0           1.0003E+00              1.0003E+00
   599.0           1.0003E+00              1.0003E+00
   600.0           1.0003E+00              1.0003E+00
   601.0           1.0003E+00              1.0003E+00
   602.0           1.0003E+00              1.0003E+00
   603.0           1.0003E+00              1.0003E+00
   604.0           1.0003E+00              1.0003E+00
   605.0           1.0003E+00              1.0003E+00
   606.0           1.0003E+00              1.0003E+00
   607.0           1.0003E+00              1.0003E+00
   608.0           1.0003E+00              1.0003E+00
   609.0           1.0003E+00              1.0003E+00
   610.0           1.0003E+00              1.0003E+00
   611.0           1.0003E+00              1.0003E+00
   612.0           1.0003E+00              1.0003E+00
   613.0           1.0003E+00              1.0003E+00
   614.0           1.0003E+00              1.0003E+00
   615.0           1.0003E+00              1.0003E+00
   616.0           1.0003E+00              1.0003E+00
   617.0           1.0003E+00              1.0003E+00
   618.0           1.0003E+00              1.0003E+00
   619.0           1.0003E+00              1.0003E+00
   620.0           1.0003E+00              1.0003E+00
   621.0           1.0003E+00              1.0003E+00
   622.0           1.0003E+00              1.0003E+00
   623.0           1.0003E+00              1.0003E+00
   624.0           1.0003E+00              1.0003E+00
   625.0           1.0003E+00              1.0003E+00
   626.0           1.0003E+00              1.0003E+00
   627.0           1.0003E+00              1.0003E+00
   628.0           1.0003E+00              1.0003E+00
   629.0           1.0002E+00              1.0002E+00
   630.0           1.0002E+00              1.0002E+00
   631.0           1.0002E+00              1.0002E+00
   632.0           1.0002E+00              1.0002E+00
   633.0           1.0002E+00              1.0002E+00
   634.0           1.0002E+00              1.0002E+00
   635.0           1.0002E+00              1.0002E+00
   636.0           1.0002E+00              1.0002E+00
   637.0           1.0002E+00              1.0002E+00
   638.0           1.0002E+00              1.0002E+00
   639.0           1.0002E+00              1.0002E+00
   640.0           1.0002E+00              1.0002E+00
   641.0           1.0002E+00              1.0002E+00
   642.0           1.0002E+00              1.0002E+00
   643.0           1.0002E+00              1.0002E+00
   644.0           1.0002E+00              1.0002E+00
   645.0           1.0002E+00              1.0002E+00
   646.0           1.0002E+00              1.0002E+00
   647.0           1.0001E+00              1.0001E+00
   648.0           1.0001E+00              1.0001E+00
   649.0           1.0001E+00              1.0001E+00
   650.0           1.0001E+00              1.0001E+00
   651.0           9.9967E-01              9.9967E-01
   652.0           9.9970E-01              9.9970E-01
   653.0           9.9974E-01              9.9974E-01
